"id","l10n_id_ebupot_facility","l10n_id_ebupot_code","active","description","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","fiscal_position_ids","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id","original_tax_ids"
"tax_22-100-22","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-22_ebupot","False","Sales of Lubricants by Importers/Manufacturers","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-100-22","percent","-0.3","l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-23","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-23_ebupot","False","Sales of Credit and Starter Cards by Second-Level Distribution Providers Who Are Collectors of Article 22 Income Tax","","-0.5%","sale","l10n_id_tax_group_pph22","0.5% 22-100-23","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-24","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-24_ebupot","False","Sales of Gas by Producers/Importers to Other Than Gas Stations/Agents/Distributors (Not Final)","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-100-24","percent","-0.3","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-401-03","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-401-03_ebupot","False","Sales of Gas by producers/importers to gas stations/agents/distributors (Final)","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-401-03","percent","-0.3","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_61100110",""
"tax_22-401-04","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-401-04_ebupot","False","Sales of fuel by Pertamina or Pertamina's subsidiaries to agents/distributors other than gas stations (Final)","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-401-04","percent","-0.3","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_61100110",""
"tax_22-403-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-403-01_ebupot","False","Sale of Very Luxury Goods Other Than Houses and Land, Apartments, Condominiums and the Like","","-5%","sale","l10n_id_tax_group_pph22","5% 22-403-01","percent","-5.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_61100110",""
"tax_22-403-02","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-403-02_ebupot","False","Sale of Very Luxury Goods for Houses and Land, Apartments, Condominiums and the Like","","-1%","sale","l10n_id_tax_group_pph22","1% 22-403-02","percent","-1.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-404-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-404-01_ebupot","False","Exports of Coal, Metal Minerals, and Non-Metal Minerals Mining Commodities Carried Out by Exporters, Except for Taxpayers Bound in PKP2B and KK","","-1.5%","sale","l10n_id_tax_group_pph22","1.5% 22-404-01","percent","-1.5","l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-405-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-405-01_ebupot","False","Income in Relation to Crypto Assets Collected by Trading Organizers Through Electronic Systems Who Are Physical Traders of Crypto Assets","","-0.1%","sale","l10n_id_tax_group_pph22","0.1% 22-405-01","percent","-0.1","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-405-02","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-405-02_ebupot","False","Income in Relation to Crypto Assets Collected by Trading Organizers Through Electronic Systems Who Are Not Physical Traders of Crypto Assets","","-0.2%","sale","l10n_id_tax_group_pph22","0.2% 22-405-02","percent","-0.2","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-101-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-101-01_ebupot","False","Income in Connection with Transactions on Sales of Goods, Delivery of Services, and/or Rentals and Other Income in Connection with the Use of Assets Carried Out Through Other Parties in the Government Procurement Information System (Non-Final)","","-0.5%","sale","l10n_id_tax_group_pph22","0.5% 22-101-01","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-101-02","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-101-02_ebupot","False","Income in Connection with Transactions on Sales of Goods, Delivery of Services, and/or Rentals and Other Income in Connection with the Use of Assets Carried Out Through Other Parties in the Government Procurement Information System (Final)","","-0.5%","sale","l10n_id_tax_group_pph22","0.5% 22-101-02","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
